TOKEN	WEIGHT
training	-0.0065068996042680245
actually	-0.006503799263123738
asking	-0.006496345395395809
forces	-0.006495168654276462
final	-0.006483463247405054
Chamber	-0.006471859485716822
expired	-0.006469340911235729
necessity	-0.006463742286923178
share	-0.006449875019612376
Jersey	-0.006429411947247247
early	-0.006425555515853071
Dr.	-0.0064101889913338655
practice	-0.00640598088815274
Europe	-0.006404197885369345
amend	-0.006400599213146268
conclusion	-0.00639896034393944
After	-0.006394296059516207
voting	-0.006384714045673367
otherwise	-0.006383594262959223
knowledge	-0.006383294249993385
housing	-0.006370820973417521
buy	-0.006368069064498508
views	-0.006362810759521767
parties	-0.006335903107539334
bank	-0.00630862235628223
